timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_clean,tweets_token,tweets_nonstop,tags_token,tags_nonstop,label
2020-11-01 23:41:04,peace,#cubans #Latinos #Hispanics #blackvoter this #ElectionDay is in your hands we must stop #racism  #hate ; #divide go #vote  do not let what happened in #Texas ; #NorthCarolina become acceptable! Your voting will bring #peace ; #unity march to polls on 11/3 to stop #trump,3.0,1,1,plzhelpkids,"Anywhere, usa",900,157,0,cubans Latinos Hispanics blackvoter ElectionDay racism hate divide vote Texas NorthCarolina peace unity trump,cubans latinos hispanics black voter election day racism hate divide vote texas north carolina peace unity trump,    this  is in your hands we must stop      go   do not let what happened in    become acceptable Your voting will bring    march to polls on  to stop ,"['this', 'is', 'in', 'your', 'hands', 'we', 'must', 'stop', 'go', 'do', 'not', 'let', 'what', 'happened', 'in', 'become', 'acceptable', 'your', 'voting', 'will', 'bring', 'march', 'to', 'polls', 'on', 'to', 'stop']","['hands', 'must', 'stop', 'go', 'let', 'happened', 'become', 'acceptable', 'voting', 'bring', 'march', 'polls', 'stop']","['cubans', 'latinos', 'hispanics', 'black', 'voter', 'election', 'day', 'racism', 'hate', 'divide', 'vote', 'texas', 'north', 'carolina', 'peace', 'unity', 'trump']","['cubans', 'latinos', 'hispanics', 'black', 'voter', 'election', 'day', 'racism', 'hate', 'divide', 'vote', 'texas', 'north', 'carolina', 'peace', 'unity', 'trump']",USA
2020-11-01 23:22:00,peace,"Democratic Governors: 

Seriously consider calling up your National Guard to keep your states safe! 

#StaySafe 

#DenounceViolence

#StrongerTogether2020 
#BidenHarris2020 
#PEACE",,,2,bluestatestuff,Rip City USA,23.1K,21.7K,0,StaySafe DenounceViolence StrongerTogether2020 BidenHarris2020 PEACE,stay safe denounce violence stronger together 2020bidenharris2020 peace,Democratic Governors Seriously consider calling up your National Guard to keep your states safe    ,"['democratic', 'governors', 'seriously', 'consider', 'calling', 'up', 'your', 'national', 'guard', 'to', 'keep', 'your', 'states', 'safe']","['democratic', 'governors', 'seriously', 'consider', 'calling', 'national', 'guard', 'keep', 'states', 'safe']","['stay', 'safe', 'denounce', 'violence', 'stronger', 'together', '2020bidenharris2020', 'peace']","['stay', 'safe', 'denounce', 'violence', 'stronger', 'together', '2020bidenharris2020', 'peace']",USA
2020-11-01 22:51:16,peace,"While the #democrats allowed #criminals to loot, kill, ; burn #America, President #Trump has been doing the impossible: Forming #peacetreaties with countries in the #middleeast. He is for #peace. People paying attention realize that. The mainstream #media doesn't want to focus",2.0,,,SecretShopper10,,57,18,0,democrats criminals America Trump peacetreaties middleeast peace media,democrats criminals america trump peace treaties middle east peace media,While the  allowed  to loot kill  burn  President  has been doing the impossible Forming  with countries in the  He is for  People paying attention realize that The mainstream  doesnt want to focus,"['while', 'the', 'allowed', 'to', 'loot', 'kill', 'burn', 'president', 'has', 'been', 'doing', 'the', 'impossible', 'forming', 'with', 'countries', 'in', 'the', 'he', 'is', 'for', 'people', 'paying', 'attention', 'realize', 'that', 'the', 'mainstream', 'doesnt', 'want', 'to', 'focus']","['allowed', 'loot', 'kill', 'burn', 'president', 'impossible', 'forming', 'countries', 'people', 'paying', 'attention', 'realize', 'mainstream', 'doesnt', 'want', 'focus']","['democrats', 'criminals', 'america', 'trump', 'peace', 'treaties', 'middle', 'east', 'peace', 'media']","['democrats', 'criminals', 'america', 'trump', 'peace', 'treaties', 'middle', 'east', 'peace', 'media']",USA
2020-11-01 22:35:54,peace,"#PeaceForAmenians #RecognizeArtsakh 
#peace",1.0,,1,AnnaRostomyan,,13,2,0,PeaceForAmenians RecognizeArtsakh peace,peace foramen ians recognize artsakh peace,  ,[],[],"['peace', 'foramen', 'ians', 'recognize', 'artsakh', 'peace']","['peace', 'foramen', 'ians', 'recognize', 'artsakh', 'peace']",Azerbaijan_Armenia
2020-11-01 21:51:56,peace,"#Obama hat mit 26.171 Bomben, 7 Länder bombardiert.

#Syria
#Iraq 
#Libya 
#Yemen 
#Somalia 
#Afghanistan 
#Pakistan

Zahllose unschuldige Opfer. Sie werden zynisch ""Kollateralschaden"" bezeichnet. 
Er sollte den #Friedensnobelpreis zurückgeben.

#Democrats #Biden #Peace",,,3,DCStudiosProd,,192,44,0,Obama Syria Iraq Libya Yemen Somalia Afghanistan Pakistan Friedensnobelpreis Democrats Biden Peace,obama syria iraq libya yemen somalia afghanistan pakistan friedens nobel preis democrats biden peace, hat mit  Bomben  Länder bombardiert     Zahllose unschuldige Opfer Sie werden zynisch Kollateralschaden bezeichnet Er sollte den  zurückgeben  ,"['hat', 'mit', 'bomben', 'länder', 'bombardiert', 'zahllose', 'unschuldige', 'opfer', 'sie', 'werden', 'zynisch', 'kollateralschaden', 'bezeichnet', 'er', 'sollte', 'den', 'zurückgeben']","['hat', 'mit', 'bomben', 'länder', 'bombardiert', 'zahllose', 'unschuldige', 'opfer', 'sie', 'werden', 'zynisch', 'kollateralschaden', 'bezeichnet', 'er', 'sollte', 'den', 'zurückgeben']","['obama', 'syria', 'iraq', 'libya', 'yemen', 'somalia', 'afghanistan', 'pakistan', 'friedens', 'nobel', 'preis', 'democrats', 'biden', 'peace']","['obama', 'syria', 'iraq', 'libya', 'yemen', 'somalia', 'afghanistan', 'pakistan', 'friedens', 'nobel', 'preis', 'democrats', 'biden', 'peace']",USA
2020-11-01 21:36:00,peace,"UNDERSTAND AND ENJOY PEACE
Watch full video on YouTube: https://youtu.be/IV-r7MlhFiI

#Peace #Peaceful #Covid_19 #Covid19UK #faith #viral #videos #restofmind #Christmas #GodIsGood #God #Trending #YouTube #Understand #EnjoyingEverydayLife #restoration #Believe",,,2,pastorrichman1,"Lagos, Nigeria","1,309","2,440",0,Peace Peaceful Covid_19 Covid19UK faith viral videos restofmind Christmas GodIsGood God Trending YouTube Understand EnjoyingEverydayLife restoration Believe,peace peaceful covid19covid19uk faith viral videos rest of mind christmas god is good god trending youtube understand enjoying everyday life restoration believe,UNDERSTAND AND ENJOY PEACEWatch full video on YouTube                 ,"['understand', 'and', 'enjoy', 'peacewatch', 'full', 'video', 'on', 'youtube']","['understand', 'enjoy', 'peacewatch', 'full', 'video', 'youtube']","['peace', 'peaceful', 'covid19covid19uk', 'faith', 'viral', 'videos', 'rest', 'of', 'mind', 'christmas', 'god', 'is', 'good', 'god', 'trending', 'youtube', 'understand', 'enjoying', 'everyday', 'life', 'restoration', 'believe']","['peace', 'peaceful', 'covid19covid19uk', 'faith', 'viral', 'videos', 'rest', 'mind', 'christmas', 'god', 'good', 'god', 'trending', 'youtube', 'understand', 'enjoying', 'everyday', 'life', 'restoration', 'believe']",covid
2020-11-01 21:04:33,peace,"God bless and protect all our emergency personnel! Hospitals, EMTs, Police, firefighters, doctors, nurses, retirement homes who are risking their lives to keep the world safe. Thank you for our essential workers. 

#Truth #COVID19 #peace #TrustGod #Jesus #publichealth #Emergency",,,,myjehovahrapha,United States,68,245,0,Truth COVID19 peace TrustGod Jesus publichealth Emergency,truth covid19 peace trust god jesus public health emergency,God bless and protect all our emergency personnel Hospitals EMTs Police firefighters doctors nurses retirement homes who are risking their lives to keep the world safe Thank you for our essential workers       ,"['god', 'bless', 'and', 'protect', 'all', 'our', 'emergency', 'personnel', 'hospitals', 'emts', 'police', 'firefighters', 'doctors', 'nurses', 'retirement', 'homes', 'who', 'are', 'risking', 'their', 'lives', 'to', 'keep', 'the', 'world', 'safe', 'thank', 'you', 'for', 'our', 'essential', 'workers']","['god', 'bless', 'protect', 'emergency', 'personnel', 'hospitals', 'emts', 'police', 'firefighters', 'doctors', 'nurses', 'retirement', 'homes', 'risking', 'lives', 'keep', 'world', 'safe', 'thank', 'essential', 'workers']","['truth', 'covid19', 'peace', 'trust', 'god', 'jesus', 'public', 'health', 'emergency']","['truth', 'covid19', 'peace', 'trust', 'god', 'jesus', 'public', 'health', 'emergency']",covid
2020-11-01 20:53:26,peace,"Dear #God,  Guide the ENTHUSIASM of these #Trump supporters to translate into a BIG RED WAVE that overwhelms #ChinaJoeBiden and the mob/#corrupt Party!  #SchoolChoice! #JOBS! #SAFETY! #OpportunityZones! #PEACE+++! In #Christ's Name, Amen.  http://johnewade.com",,1,,JohnEWadeII,"New Orleans, US, 70130","2,629","1,747",0,God Trump ChinaJoeBiden corrupt SchoolChoice JOBS SAFETY OpportunityZones PEACE Christ,god trump china joe biden corrupt school choice jobs safety opportunity zones peace christ,Dear   Guide the ENTHUSIASM of these  supporters to translate into a BIG RED WAVE that overwhelms  and the mob Party       In s Name Amen  ,"['dear', 'guide', 'the', 'enthusiasm', 'of', 'these', 'supporters', 'to', 'translate', 'into', 'a', 'big', 'red', 'wave', 'that', 'overwhelms', 'and', 'the', 'mob', 'party', 'in', 's', 'name', 'amen']","['dear', 'guide', 'enthusiasm', 'supporters', 'translate', 'big', 'red', 'wave', 'overwhelms', 'mob', 'party', 'name', 'amen']","['god', 'trump', 'china', 'joe', 'biden', 'corrupt', 'school', 'choice', 'jobs', 'safety', 'opportunity', 'zones', 'peace', 'christ']","['god', 'trump', 'china', 'joe', 'biden', 'corrupt', 'school', 'choice', 'jobs', 'safety', 'opportunity', 'zones', 'peace', 'christ']",USA
2020-11-01 20:37:46,peace,"“Karabakh under the control of Azerbaijan” means Karabakh without Armenians, hence it means genocide. #RecognizeArtsakh for #peace in Azerbaijan and Armenia #StopAzeriWarCrimes",,,1,smarkosyan,"London, England",158,87,0,RecognizeArtsakh peace StopAzeriWarCrimes,recognize artsakh peace stop azeri war crimes,Karabakh under the control of Azerbaijan means Karabakh without Armenians hence it means genocide  for  in Azerbaijan and Armenia ,"['karabakh', 'under', 'the', 'control', 'of', 'azerbaijan', 'means', 'karabakh', 'without', 'armenians', 'hence', 'it', 'means', 'genocide', 'for', 'in', 'azerbaijan', 'and', 'armenia']","['karabakh', 'control', 'azerbaijan', 'means', 'karabakh', 'without', 'armenians', 'hence', 'means', 'genocide', 'azerbaijan', 'armenia']","['recognize', 'artsakh', 'peace', 'stop', 'azeri', 'war', 'crimes']","['recognize', 'artsakh', 'peace', 'stop', 'azeri', 'war', 'crimes']",Azerbaijan_Armenia
2020-11-01 20:36:16,peace,"Hello November. You are greeted and feared. Hesitatingly longed for. Cautiously optimistic. You are big and intimidating in your harvest of possibility, hope-springs eternal. We welcome your moments and go forth in faith. #November2020 #peace #love #Election2020 #COVID",,,,ginaBoom1yes,NeverthelessShePersisted MO/IL,"2,109",632,0,November2020 peace love Election2020 COVID,november 2020 peace love election 2020covid,Hello November You are greeted and feared Hesitatingly longed for Cautiously optimistic You are big and intimidating in your harvest of possibility hopesprings eternal We welcome your moments and go forth in faith     ,"['hello', 'november', 'you', 'are', 'greeted', 'and', 'feared', 'hesitatingly', 'longed', 'for', 'cautiously', 'optimistic', 'you', 'are', 'big', 'and', 'intimidating', 'in', 'your', 'harvest', 'of', 'possibility', 'hopesprings', 'eternal', 'we', 'welcome', 'your', 'moments', 'and', 'go', 'forth', 'in', 'faith']","['hello', 'november', 'greeted', 'feared', 'hesitatingly', 'longed', 'cautiously', 'optimistic', 'big', 'intimidating', 'harvest', 'possibility', 'hopesprings', 'eternal', 'welcome', 'moments', 'go', 'forth', 'faith']","['november', '2020', 'peace', 'love', 'election', '2020covid']","['november', '2020', 'peace', 'love', 'election', '2020covid']",covid
